article_id,apa,sort_key,year,journal,hypotheses
Armstrong2010,"Armstrong, C. S., Barth, M. E., Jagolinzer, A. D., & Riedl, E. J. (2010). Market reaction to the adoption of IFRS in Europe. *The Accounting Review*, *85*(1), 31–61.","armstrong, c. s., barth, m. e., jagolinzer, a. d., & riedl, e. j.2010",2010,The Accounting Review,2
Arping2013,"Arping, S., & Sautner, Z. (2013). Did SOX Section 404 Make Firms Less Opaque? Evidence from Cross-Listed Firms. *Contemporary Accounting Research*, *30*(3), 1133–1165.","arping, s., & sautner, z.2013",2013,Contemporary Accounting Research,2
Ashbaugh2001,"Ashbaugh, H., & Pincus, M. (2001). Domestic accounting standards, international accounting standards, and the predictability of earnings. *Journal of Accounting Research*, *39*(3), 417–434.","ashbaugh, h., & pincus, m.2001",2001,Journal of Accounting Research,2
Asness2019,"Asness, C. S., Frazzini, A., & Pedersen, L. H. (2019). Quality minus junk. *Review of Accounting Studies*, *24*, 34–112.","asness, c. s., frazzini, a., & pedersen, l. h.2019",2019,Review of Accounting Studies,3
Atwood2019,"Atwood, T. J., & Lewellen, C. (2019). The Complementarity between Tax Avoidance and Manager Diversion: Evidence from Tax Haven Firms. *Contemporary Accounting Research*, *36*(1), 259–294.","atwood, t. j., & lewellen, c.2019",2019,Contemporary Accounting Research,6
Atwood2010,"Atwood, T. J., Drake, M. S., & Myers, L. A. (2010). Book-tax conformity, earnings persistence and the association between earnings and future cash flows. *Journal of Accounting and Economics*, *50*(1), 111–125.","atwood, t. j., drake, m. s., & myers, l. a.2010",2010,Journal of Accounting and Economics,1
Atwood2012a,"Atwood, T. J., Drake, M. S., Myers, J. N., & Myers, L. A. (2012). Home country tax system characteristics and corporate tax avoidance: International evidence. *The Accounting Review*, *87*(6), 1831–1860.","atwood, t. j., drake, m. s., myers, j. n., & myers, l. a.2012",2012,The Accounting Review,3
Bae2008b,"Bae, K.-H., Tan, H., & Welker, M. (2008). International GAAP Differences: The Impact on Foreign Analysts. *The Accounting Review*, *83*(3), 593–628.","bae, k.-h., tan, h., & welker, m.2008",2008,The Accounting Review,2
Balakrishnan2019a,"Balakrishnan, K., & Ertan, A. (2019). Bank asset transparency and credit supply. *Review of Accounting Studies*, *24*(4), 1359–1391.","balakrishnan, k., & ertan, a.2019",2019,Review of Accounting Studies,4
Balakrishnan2021,"Balakrishnan, K., De George, E. T., Ertan, A., & Scobie, H. (2021). Economic consequences of mandatory auditor reporting to bank regulators. *Journal of Accounting and Economics*, *72*(2-3), 101431.","balakrishnan, k., de george, e. t., ertan, a., & scobie, h.2021",2021,Journal of Accounting and Economics,1
Balakrishnan2019,"Balakrishnan, K., Vashishtha, R., & Verrecchia, R. E. (2019). Foreign competition for shares and the pricing of information asymmetry: Evidence from equity market liberalization. *Journal of Accounting and Economics*, *67*(1), 80–97.","balakrishnan, k., vashishtha, r., & verrecchia, r. e.2019",2019,Journal of Accounting and Economics,1
Ball2018,"Ball, R. T., Hail, L., & Vasvari, F. P. (2018). Equity cross-listings in the U.S. and the price of debt. *Review of Accounting Studies*, *23*(2), 385–421.","ball, r. t., hail, l., & vasvari, f. p.2018",2018,Review of Accounting Studies,1
Ball2015,"Ball, R., Li, X., & Shivakumar, L. (2015). Contractibility and Transparency of Financial Statement Information Prepared Under IFRS: Evidence from Debt Contracts Around IFRS Adoption. *Journal of Accounting Research*, *53*(5), 915–963.","ball, r., li, x., & shivakumar, l.2015",2015,Journal of Accounting Research,1
Ball2008,"Ball, R., Robin, A., & Sadka, G. (2008). Is financial reporting shaped by equity markets or by debt markets? An international study of timeliness and conservatism. *Review of Accounting Studies*, *13*(2-3), 168–205.","ball, r., robin, a., & sadka, g.2008",2008,Review of Accounting Studies,4
Banker2013,"Banker, R. D., Byzalov, D., & Chen, L. T. (2013). Employment protection legislation, adjustment costs and cross-country differences in cost behavior. *Journal of Accounting and Economics*, *55*(1), 111–127.","banker, r. d., byzalov, d., & chen, l. t.2013",2013,Journal of Accounting and Economics,1
Barniv2010,"Barniv, R., Hope, O.-K., Myring, M. J., & Thomas, W. B. (2010). International Evidence on Analyst Stock Recommendations, Valuations, and Returns. *Contemporary Accounting Research*, *27*(4), 1131–1167.","barniv, r., hope, o.-k., myring, m. j., & thomas, w. b.2010",2010,Contemporary Accounting Research,5
Barniv2005,"Barniv, R., Myring, M. J., & Thomas, W. B. (2005). The Association between the Legal and Financial Reporting Environments and Forecast Performance of Individual Analysts. *Contemporary Accounting Research*, *22*(4), 727–758.","barniv, r., myring, m. j., & thomas, w. b.2005",2005,Contemporary Accounting Research,2
Barrios2022,"Barrios, J. M., Bianchi, P. A., Isidro, H., & Nanda, D. (2022). Boards of a Feather: Homophily in Foreign Director Appointments Around the World. *Journal of Accounting Research*, *60*(4), 1293–1335.","barrios, j. m., bianchi, p. a., isidro, h., & nanda, d.2022",2022,Journal of Accounting Research,1
Barth2008,"Barth, M. E., Landsman, W. R., & Lang, M. H. (2008). International accounting standards and accounting quality. *Journal of Accounting Research*, *46*(3), 467–498.","barth, m. e., landsman, w. r., & lang, m. h.2008",2008,Journal of Accounting Research,1
Barth2012,"Barth, M. E., Landsman, W. R., Lang, M. H., & Williams, C. D. (2012). Are IFRS-based and US GAAP-based accounting amounts comparable? *Journal of Accounting and Economics*, *54*(1), 68–93.","barth, m. e., landsman, w. r., lang, m. h., & williams, c. d.2012",2012,Journal of Accounting and Economics,1
Ben-Nasr2012,"Ben-Nasr, H., Boubakri, N., & Cosset, J. C. (2012). The Political Determinants of the Cost of Equity: Evidence from Newly Privatized Firms. *Journal of Accounting Research*, *50*(3), 605–646.","ben-nasr, h., boubakri, n., & cosset, j. c.2012",2012,Journal of Accounting Research,5
Beuselinck2019,"Beuselinck, C., Cascino, S., Deloof, M., & Vanstraelen, A. (2019). Earnings management within multinational corporations. *The Accounting Review*, *94*(4), 45–76.","beuselinck, c., cascino, s., deloof, m., & vanstraelen, a.2019",2019,The Accounting Review,8
Beuselinck2015,"Beuselinck, C., Deloof, M., & Vanstraelen, A. (2015). Cross-jurisdictional income shifting and tax enforcement: evidence from public versus private multinationals. *Review of Accounting Studies*, *20*(2), 710–746.","beuselinck, c., deloof, m., & vanstraelen, a.2015",2015,Review of Accounting Studies,3
Bhattacharya2003,"Bhattacharya, U., Daouk, H., & Welker, M. (2003). The World Price of Earnings Opacity. *The Accounting Review*, *78*(3), 641–678.","bhattacharya, u., daouk, h., & welker, m.2003",2003,The Accounting Review,3
Bilinski2022,"Bilinski, P., & Bradshaw, M. T. (2022). Analyst Dividend Forecasts and Their Usefulness to Investors. *The Accounting Review*, *97*(4), 75–104.","bilinski, p., & bradshaw, m. t.2022",2022,The Accounting Review,2
Bilinski2013,"Bilinski, P., Lyssimachou, D., & Walker, M. (2013). Target price accuracy: International evidence. *The Accounting Review*, *88*(3), 825–851.","bilinski, p., lyssimachou, d., & walker, m.2013",2013,The Accounting Review,7
Bischof2013,"Bischof, J., & Daske, H. (2013). Mandatory disclosure, voluntary disclosure, and stock market liquidity: Evidence from the EU bank stress tests. *Journal of Accounting Research*, *51*(5), 997–1029.","bischof, j., & daske, h.2013",2013,Journal of Accounting Research,3
Bischof2022,"Bischof, J., Daske, H., Elfers, F., & Hail, L. (2022). A Tale of Two Supervisors: Compliance with Risk Disclosure Regulation in the Banking Sector. *Contemporary Accounting Research*, *39*(1), 498–536.","bischof, j., daske, h., elfers, f., & hail, l.2022",2022,Contemporary Accounting Research,1
Blaylock2015,"Blaylock, B., Gaertner, F., & Shevlin, T. (2015). The association between book-tax conformity and earnings management. *Review of Accounting Studies*, *20*(1), 141–172.","blaylock, b., gaertner, f., & shevlin, t.2015",2015,Review of Accounting Studies,1
Bloomfield2017,"Bloomfield, M. J., Br\""Uggemann, U., Christensen, H. B., & Leuz, C. (2017). The Effect of Regulatory Harmonization on Cross-Border Labor Migration: Evidence from the Accounting Profession. *Journal of Accounting Research*, *55*(1), 35–78.","bloomfield, m. j., br\""uggemann, u., christensen, h. b., & leuz, c.2017",2017,Journal of Accounting Research,1
Blouin2009,"Blouin, J. L., Hail, L., & Yetman, M. H. (2009). Capital gains taxes, pricing spreads, and arbitrage: Evidence from cross-listed firms in the U.S. *The Accounting Review*, *84*(5), 1321–1361.","blouin, j. l., hail, l., & yetman, m. h.2009",2009,The Accounting Review,2
Blouin2018,"Blouin, J. L., Robinson, L. A., & Seidman, J. K. (2018). Conflicting Transfer Pricing Incentives and the Role of Coordination. *Contemporary Accounting Research*, *35*(1), 87–116.","blouin, j. l., robinson, l. a., & seidman, j. k.2018",2018,Contemporary Accounting Research,3
Bonacchi2019,"Bonacchi, M., Marra, A., & Zarowin, P. (2019). Organizational structure and earnings quality of private and public firms. *Review of Accounting Studies*, *24*(3), 1066–1113.","bonacchi, m., marra, a., & zarowin, p.2019",2019,Review of Accounting Studies,3
Bonetti2020,"Bonetti, P., Duro, M., & Ormazabal, G. (2020). Disclosure Regulation and Corporate Acquisitions. *Journal of Accounting Research*, *58*(1), 55–103.","bonetti, p., duro, m., & ormazabal, g.2020",2020,Journal of Accounting Research,1
Boulton2022,"Boulton, T. J., Braga‐Alves, M. V., & Chakrabarty, B. (2022). The Effect of Reporting Opacity on Trading Opacity: New Evidence from American Depositary Receipt Trades in Dark Pools. *Contemporary Accounting Research*, *39*(4), 2758–2789.","boulton, t. j., braga‐alves, m. v., & chakrabarty, b.2022",2022,Contemporary Accounting Research,1
Boulton2011,"Boulton, T. J., Smart, S. B., & Zutter, C. J. (2011). Earnings quality and international IPO underpricing. *The Accounting Review*, *86*(2), 483–505.","boulton, t. j., smart, s. b., & zutter, c. j.2011",2011,The Accounting Review,1
Bourveau2022,"Bourveau, T., De George, E. T., Ellahie, A., & Macciocchi, D. (2022). The Role of Disclosure and Information Intermediaries in an Unregulated Capital Market: Evidence from Initial Coin Offerings. *Journal of Accounting Research*, *60*(1), 129–167.","bourveau, t., de george, e. t., ellahie, a., & macciocchi, d.2022",2022,Journal of Accounting Research,3
Bradley2021,"Bradley, S., Robinson, L. A., & Ruf, M. (2021). The impact of IP box regimes on the M&A market. *Journal of Accounting and Economics*, *72*(2-3), 101448.","bradley, s., robinson, l. a., & ruf, m.2021",2021,Journal of Accounting and Economics,3
Bradshaw2004,"Bradshaw, M. T., Bushee, B. J., & Miller, G. S. (2004). Accounting choice, home bias, and U.S. investment in non-U.S. firms. *Journal of Accounting Research*, *42*(5), 795–841.","bradshaw, m. t., bushee, b. j., & miller, g. s.2004",2004,Journal of Accounting Research,2
Bradshaw2019,"Bradshaw, M. T., Huang, A. G., & Tan, H. (2019). The Effects of Analyst-Country Institutions on Biased Research: Evidence from Target Prices. *Journal of Accounting Research*, *57*(1), 85–120.","bradshaw, m. t., huang, a. g., & tan, h.2019",2019,Journal of Accounting Research,2
Breuer2021,"Breuer, M. (2021). How Does Financial-Reporting Regulation Affect Industry-Wide Resource Allocation? *Journal of Accounting Research*, *59*(1), 59–110.","breuer, m.2021",2021,Journal of Accounting Research,1
Brochet2019,"Brochet, F., Miller, G. S., Naranjo, P., & Yu, G. (2019). Managers' Cultural Background and Disclosure Attributes. *The Accounting Review*, *94*(3), 57–86.","brochet, f., miller, g. s., naranjo, p., & yu, g.2019",2019,The Accounting Review,4
Brochet2016,"Brochet, F., Naranjo, P., & Yu, G. (2016). The Capital Market Consequences of Language Barriers in the Conference Calls of Non-U.S. Firms. *The Accounting Review*, *91*(4), 1023–1049.","brochet, f., naranjo, p., & yu, g.2016",2016,The Accounting Review,3
Bronson2017,"Bronson, S. N., Ghosh, A. A., & Hogan, C. E. (2017). Audit Fee Differential, Audit Effort, and Litigation Risk: An Examination of ADR Firms. *Contemporary Accounting Research*, *34*(1), 83–117.","bronson, s. n., ghosh, a. a., & hogan, c. e.2017",2017,Contemporary Accounting Research,2
Brown2016,"Brown, A. B. (2016). Institutional Differences and International Private Debt Markets: A Test Using Mandatory IFRS Adoption. *Journal of Accounting Research*, *54*(3), 679–723.","brown, a. b.2016",2016,Journal of Accounting Research,5
Bushman2012,"Bushman, R. M., & Williams, C. D. (2012). Accounting discretion, loan loss provisioning, and discipline of Banks' risk-taking. *Journal of Accounting and Economics*, *54*(1), 1–18.","bushman, r. m., & williams, c. d.2012",2012,Journal of Accounting and Economics,1
Bushman2004,"Bushman, R. M., Piotroski, J. D., & Smith, A. J. (2004). What Determines Corporate Transparency? *Journal of Accounting Research*, *42*(2), 207–252.","bushman, r. m., piotroski, j. d., & smith, a. j.2004",2004,Journal of Accounting Research,4
Byard2011,"Byard, D., Li, Y., & Yu, Y. (2011). The Effect of Mandatory IFRS Adoption on Financial Analysts' Information Environment. *Journal of Accounting Research*, *49*(1), 69–96.","byard, d., li, y., & yu, y.2011",2011,Journal of Accounting Research,3
Carson2009,"Carson, E. (2009). Industry specialization by global audit firm networks. *The Accounting Review*, *84*(2), 355–382.","carson, e.2009",2009,The Accounting Review,1
Cascino2015,"Cascino, S., & Gassen, J. (2015). What drives the comparability effect of mandatory IFRS adoption? *Review of Accounting Studies*, *20*(1), 242–282.","cascino, s., & gassen, j.2015",2015,Review of Accounting Studies,4
Chan1996a,"Chan, K. C., & Seow, G. S. (1996). The association between stock returns and foreign GAAP earnings versus earnings adjusted to U.S. GAAP. *Journal of Accounting and Economics*, *21*(1), 139–158.","chan, k. c., & seow, g. s.1996",1996,Journal of Accounting and Economics,1
Chaney2011,"Chaney, P. K., Faccio, M., & Parsley, D. (2011). The quality of accounting information in politically connected firms. *Journal of Accounting and Economics*, *51*(1-2), 58–76.","chaney, p. k., faccio, m., & parsley, d.2011",2011,Journal of Accounting and Economics,1
Chattopadhyay2022,"Chattopadhyay, A., Lyle, M. R., & Wang, C. C.Y. (2022). Expected Stock Returns Worldwide: A Log-Linear Present-Value Approach. *The Accounting Review*, *97*(1), 107–133.","chattopadhyay, a., lyle, m. r., & wang, c. c.y.2022",2022,The Accounting Review,1
Chen2022,"Chen, B., & Conaway, J. K. (2022). Do U.S. Investors Value Foreign Component Auditors? *Journal of Accounting Research*, *60*(3), 805–851.","chen, b., & conaway, j. k.2022",2022,Journal of Accounting Research,1
Chen2013,"Chen, C., Young, D., & Zhuang, Z. (2013). Externalities of mandatory IFRS adoption: Evidence from cross-border spillover effects of financial information on investment efficiency. *The Accounting Review*, *88*(3), 881–914.","chen, c., young, d., & zhuang, z.2013",2013,The Accounting Review,2
Chen2015,"Chen, C.-Y., Chen, P. F., & Jin, Q. (2015). Economic Freedom, Investment Flexibility, and Equity Value. *The Accounting Review*, *90*(5), 1839–1870.","chen, c.-y., chen, p. f., & jin, q.2015",2015,The Accounting Review,7
Chen2011,"Chen, F., Hope, O.-K., Li, Q., & Wang, X. (2011). Financial reporting quality and investment efficiency of private firms in emerging markets. *The Accounting Review*, *86*(4), 1255–1288.","chen, f., hope, o.-k., li, q., & wang, x.2011",2011,The Accounting Review,3
Chen2018,"Chen, F., Hope, O.-K., Li, Q., & Wang, X. (2018). Flight to Quality in International Markets: Investors' Demand for Financial Reporting Quality during Political Uncertainty Events. *Contemporary Accounting Research*, *35*(1), 117–155.","chen, f., hope, o.-k., li, q., & wang, x.2018",2018,Contemporary Accounting Research,4
Chen2008,"Chen, L. H., & Sami, H. (2008). Trading Volume Reaction to the Earnings Reconciliation from IAS to U. S. GAAP. *Contemporary Accounting Research*, *25*(1), 15–53.","chen, l. h., & sami, h.2008",2008,Contemporary Accounting Research,1
Chen2013a,"Chen, L. H., & Sami, H. (2013). The Impact of Firm Characteristics on Trading Volume Reaction to the Earnings Reconciliation from IFRS to U.S. GAAP. *Contemporary Accounting Research*, *30*(2), 697–718.","chen, l. h., & sami, h.2013",2013,Contemporary Accounting Research,4
Chen2015a,"Chen, L., Ng, J., & Tsang, A. (2015). The Effect of Mandatory IFRS Adoption on International Cross-Listings. *The Accounting Review*, *90*(4), 1395–1435.","chen, l., ng, j., & tsang, a.2015",2015,The Accounting Review,3
Chen2022a,"Chen, R., Ghoul, S. E., Guedhami, O., Wang, H., & Yang, Y. (2022). Corporate Governance and Tax Avoidance: Evidence from U.S. Cross-Listing. *The Accounting Review*, *97*(7), 49–78.","chen, r., ghoul, s. e., guedhami, o., wang, h., & yang, y.2022",2022,The Accounting Review,3
Choi2018,"Choi, A., Choi, J., & Sohn, B. C. (2018). The Joint Effect of Audit Quality and Legal Regimes on the Use of Real Earnings Management: International Evidence. *Contemporary Accounting Research*, *35*(4), 2225–2257.","choi, a., choi, j., & sohn, b. c.2018",2018,Contemporary Accounting Research,2
Choi1973,"Choi, F. D. S. (1973). Financial Disclosure and Entry to the European Capital Market. *Journal of Accounting Research*, *11*(2), 159–175.","choi, f. d. s.1973",1973,Journal of Accounting Research,1
Choi2007,"Choi, J.-H., & Wong, T. J. (2007). Auditors' Governance Functions and Legal Environments: An International Investigation. *Contemporary Accounting Research*, *24*(1), 13–46.","choi, j.-h., & wong, t. j.2007",2007,Contemporary Accounting Research,3
Choi2008,"Choi, J.-H., Kim, J.-B., Liu, X., & Simunic, D. A. (2008). Audit Pricing, Legal Liability Regimes, and Big 4 Premiums: Theory and Cross-country Evidence. *Contemporary Accounting Research*, *25*(1), 55–99.","choi, j.-h., kim, j.-b., liu, x., & simunic, d. a.2008",2008,Contemporary Accounting Research,3
Christensen2022,"Christensen, B. E., Lei, L., Shu, S. Q., & Thomas, W. B. (2022). Does audit regulation improve the underlying information used by managers? Evidence from PCAOB inspection access and management forecast accuracy. *Accounting, Organizations and Society*, *106*, Article 101403.","christensen, b. e., lei, l., shu, s. q., & thomas, w. b.2022",2022,"Accounting, Organizations and Society",1
Christensen2013,"Christensen, H. B., Hail, L., & Leuz, C. (2013). Mandatory IFRS reporting and changes in enforcement. *Journal of Accounting and Economics*, *56*(2-3), 147–177.","christensen, h. b., hail, l., & leuz, c.2013",2013,Journal of Accounting and Economics,2
Christensen2022a,"Christensen, H. B., Maffett, M., & Rauter, T. (2022). Policeman for the World: The Impact of Extraterritorial FCPA Enforcement on Foreign Investment and Internal Controls. *The Accounting Review*, *97*(5), 189–219.","christensen, h. b., maffett, m., & rauter, t.2022",2022,The Accounting Review,1
Christensen2019,"Christensen, H. B., Maffett, M., & Vollon, L. (2019). Securities regulation, household equity ownership, and trust in the stock market. *Review of Accounting Studies*, *24*(3), 824–859.","christensen, h. b., maffett, m., & vollon, l.2019",2019,Review of Accounting Studies,3
Chue2015,"Chue, T. K. (2015). Understanding Cross-Country Differences in Valuation Ratios: A Variance Decomposition Approach. *Contemporary Accounting Research*, *32*(4), 1617–1640.","chue, t. k.2015",2015,Contemporary Accounting Research,3
Collins1997a,"Collins, J. H., & Shackelford, D. A. (1997). Global organizations and taxes: An analysis of the dividend, interest, royalty, and management fee payments between U.S. multinationals' foreign affiliates. *Journal of Accounting and Economics*, *24*(2), 151–173.","collins, j. h., & shackelford, d. a.1997",1997,Journal of Accounting and Economics,4
Conaway2022,"Conaway, J. K. (2022). Has Global Financial Reporting Comparability Improved? *Contemporary Accounting Research*, *39*(4), 2825–2860.","conaway, j. k.2022",2022,Contemporary Accounting Research,2
Covrig2007,"Covrig, V. M., DeFond, M. L., & Hung, M. (2007). Home bias, foreign mutual fund holdings, and the voluntary adoption of international accounting standards. *Journal of Accounting Research*, *45*(1), 41–70.","covrig, v. m., defond, m. l., & hung, m.2007",2007,Journal of Accounting Research,1
Curtis2015,"Curtis, A., Lewis-Western, M. F., & Toynbee, S. (2015). Historical cost measurement and the use of DuPont analysis by market participants. *Review of Accounting Studies*, *20*(3), 1210–1245.","curtis, a., lewis-western, m. f., & toynbee, s.2015",2015,Review of Accounting Studies,3
Daske2008,"Daske, H., Hail, L., Leuz, C., & Verdi, R. S. (2008). Mandatory IFRS reporting around the world: Early evidence on the economic consequences. *Journal of Accounting Research*, *46*(5), 1085–1142.","daske, h., hail, l., leuz, c., & verdi, r. s.2008",2008,Journal of Accounting Research,2
Daske2013,"Daske, H., Hail, L., Leuz, C., & Verdi, R. S. (2013). Adopting a Label: Heterogeneity in the Economic Consequences Around IAS/IFRS Adoptions. *Journal of Accounting Research*, *51*(3), 495–547.","daske, h., hail, l., leuz, c., & verdi, r. s.2013",2013,Journal of Accounting Research,6
DeSimone2022a,"De Simone, L., & Olbert, M. (2022). Real Effects of Private Country-by-Country Disclosure. *The Accounting Review*, *97*(6), 201–232.","de simone, l., & olbert, m.2022",2022,The Accounting Review,3
DeSimone2020a,"De Simone, L., Huang, J. J., & Krull, L. (2020). R\&D and the rising foreign profitability of U.S. multinational corporations. *The Accounting Review*, *95*(3), 177–204.","de simone, l., huang, j. j., & krull, l.2020",2020,The Accounting Review,2
DeSimone2017,"De Simone, L., Klassen, K. J., & Seidman, J. K. (2017). Unprofitable Affiliates and Income Shifting Behavior. *The Accounting Review*, *92*(3), 113–136.","de simone, l., klassen, k. j., & seidman, j. k.2017",2017,The Accounting Review,1
DeSimone2022,"De Simone, L., Klassen, K. J., & Seidman, J. K. (2022). The effect of income-shifting aggressiveness on corporate investment. *Journal of Accounting and Economics*, *74*(1), 101491.","de simone, l., klassen, k. j., & seidman, j. k.2022",2022,Journal of Accounting and Economics,1
DeSimone2020,"De Simone, L., Lester, R., & Markle, K. S. (2020). Transparency and Tax Evasion: Evidence from the Foreign Account Tax Compliance Act (FATCA). *Journal of Accounting Research*, *58*(1), 105–153.","de simone, l., lester, r., & markle, k. s.2020",2020,Journal of Accounting Research,1
DeSimone2016,"De Simone, L. (2016). Does a common set of accounting standards affect tax-motivated income shifting for multinational firms? *Journal of Accounting and Economics*, *61*(1), 145–165.","de simone, l.2016",2016,Journal of Accounting and Economics,1
Defond2007,"DeFond, M. L., & Hung, M. (2007). Investor protection and analysts' cash flow forecasts around the world. *Review of Accounting Studies*, *12*(2-3), 377–419.","defond, m. l., & hung, m.2007",2007,Review of Accounting Studies,1
DeFond2020,"DeFond, M. L., Hu, J., Hung, M., & Li, S. (2020). The effect of fair value accounting on the performance evaluation role of earnings. *Journal of Accounting and Economics*, *70*(2-3), 101341.","defond, m. l., hu, j., hung, m., & li, s.2020",2020,Journal of Accounting and Economics,1
DeFond2007,"DeFond, M. L., Hung, M., & Trezevant, R. (2007). Investor protection and the information content of annual earnings announcements: International evidence. *Journal of Accounting and Economics*, *43*(1), 37–67.","defond, m. l., hung, m., & trezevant, r.2007",2007,Journal of Accounting and Economics,4
Demmer2019,"Demmer, M., Pronobis, P., & Yohn, T. L. (2019). Mandatory IFRS adoption and analyst forecast accuracy: the role of financial statement-based forecasts and analyst characteristics. *Review of Accounting Studies*, *24*(3), 1022–1065.","demmer, m., pronobis, p., & yohn, t. l.2019",2019,Review of Accounting Studies,3
Deng2020,"Deng, Z. (2020). Foreign Exchange Risk, Hedging, and Tax-Motivated Outbound Income Shifting. *Journal of Accounting Research*, *58*(4), 953–987.","deng, z.2020",2020,Journal of Accounting Research,2
Denis2013,"Denis, D. J., & Xu, J. (2013). Insider trading restrictions and top executive compensation. *Journal of Accounting and Economics*, *56*(1), 91–112.","denis, d. j., & xu, j.2013",2013,Journal of Accounting and Economics,1
Dhaliwal2019,"Dhaliwal, D. S., He, W., Li, Y., & Pereira, R. (2019). Accounting Standards Harmonization and Financial Integration. *Contemporary Accounting Research*, *36*(4), 2437–2466.","dhaliwal, d. s., he, w., li, y., & pereira, r.2019",2019,Contemporary Accounting Research,2
Dhaliwal2012,"Dhaliwal, D. S., Radhakrishnan, S., Tsang, A., & Yang, Y. G. (2012). Nonfinancial disclosure and analyst forecast accuracy: International evidence on corporate social responsibility disclosure. *The Accounting Review*, *87*(3), 723–759.","dhaliwal, d. s., radhakrishnan, s., tsang, a., & yang, y. g.2012",2012,The Accounting Review,3
Docimo2021,"Docimo, W. M., Gunn, J. L., Li, C., & Michas, P. N. (2021). Do Foreign Component Auditors Harm Financial Reporting Quality? A Subsidiary‐Level Analysis of Foreign Component Auditor Use. *Contemporary Accounting Research*, *38*(4), 3113–3145.","docimo, w. m., gunn, j. l., li, c., & michas, p. n.2021",2021,Contemporary Accounting Research,1
Dou2016,"Dou, P., Truong, C., & Veeraraghavan, M. (2016). Individualism, Uncertainty Avoidance, and Earnings Momentum in International Markets. *Contemporary Accounting Research*, *33*(2), 851–881.","dou, p., truong, c., & veeraraghavan, m.2016",2016,Contemporary Accounting Research,2
Dou2013,"Dou, Y., Hope, O.-K., & Thomas, W. B. (2013). Relationship-specificity, contract enforceability, and income smoothing. *The Accounting Review*, *88*(5), 1629–1656.","dou, y., hope, o.-k., & thomas, w. b.2013",2013,The Accounting Review,2
Downar2018,"Downar, B., Ernstberger, J., & Link, B. (2018). The Monitoring Effect of More Frequent Disclosure. *Contemporary Accounting Research*, *35*(4), 2058–2081.","downar, b., ernstberger, j., & link, b.2018",2018,Contemporary Accounting Research,1
Dyreng2009,"Dyreng, S. D., & Lindsey, B. P. (2009). Using financial accounting data to examine the effect of foreign operations located in tax havens and other countries on U.S. multinational firms' Tax rates. *Journal of Accounting Research*, *47*(5), 1283–1316.","dyreng, s. d., & lindsey, b. p.2009",2009,Journal of Accounting Research,2
