node,category,external,in_degree,out_degree,degree,hypotheses_as_iv,hypotheses_as_dv,stream
Future operating cash flows,Tax & Financial Planning,False,2,0,2,0,2,6. Standards differences and disclosure informativeness
Market valuation,Market Characteristics & Outcomes,False,1,0,1,0,1,6. Standards differences and disclosure informativeness
Disclosure practices,Financial Reporting & Disclosure,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
Corporate governance,Corporate Governance & Control,False,0,4,4,4,0,6. Standards differences and disclosure informativeness
Tax avoidance,Tax & Financial Planning,False,14,3,17,3,15,3. Tax avoidance and investor protection
Accounting standards reconciliation,Financial Reporting & Disclosure,False,0,4,4,5,0,Smaller community
Value relevance,Market Characteristics & Outcomes,False,12,0,12,0,12,3. Tax avoidance and investor protection
Dividend tax,Tax & Financial Planning,False,0,3,3,3,0,Smaller community
Foreign portfolio investment,Tax & Financial Planning,False,3,0,3,0,3,Smaller community
Foreign equity holding company,Market Participants & Information Environment,False,3,0,3,0,3,Smaller community
Dividend policy,Tax & Financial Planning,False,4,0,4,0,4,3. Tax avoidance and investor protection
Financial performance,Business Financial,False,2,0,2,0,2,3. Tax avoidance and investor protection
Overinvestment,Tax & Financial Planning,False,2,0,2,0,2,3. Tax avoidance and investor protection
Corporate tax rate,Tax & Financial Planning,False,0,3,3,3,0,13. Bank risk-taking and state ownership
Loan loss provision,Banking & Financial Institutions,False,2,0,2,0,2,13. Bank risk-taking and state ownership
Risk-taking,Banking & Financial Institutions,False,7,0,7,0,7,13. Bank risk-taking and state ownership
Loan loss provision deductibility,Financial Reporting & Disclosure,False,0,3,3,3,0,13. Bank risk-taking and state ownership
Non-performing loans,Banking & Financial Institutions,False,0,1,1,1,0,13. Bank risk-taking and state ownership
PCAOB inspection,Oversight & Regulation,False,0,7,7,7,0,5. Investment decisions and audit oversight
Auditor market share,Audit & Assurance,False,1,0,1,0,1,5. Investment decisions and audit oversight
Management forecast accuracy,Corporate Governance & Control,False,1,0,1,0,1,5. Investment decisions and audit oversight
Audit quality,Audit & Assurance,False,5,1,6,1,5,5. Investment decisions and audit oversight
Institutional investors' home bias,Psychology,True,2,0,2,0,2,5. Investment decisions and audit oversight
Capital raising,Tax & Financial Planning,False,3,1,4,1,3,5. Investment decisions and audit oversight
Pre-adoption information quality,Market Participants & Information Environment,False,0,1,1,1,0,Smaller community
SOX adoption,Oversight & Regulation,False,0,5,5,6,0,2. Analyst forecasts and reporting quality
Bond market,Market Characteristics & Outcomes,False,1,0,1,0,1,2. Analyst forecasts and reporting quality
Cross-delisting,International Business & Cross-border Activities,False,1,0,1,0,1,2. Analyst forecasts and reporting quality
Firm value,Market Characteristics & Outcomes,False,9,0,9,0,10,7. Transparency and firm value
Mandatory IAS adoption,Financial Reporting & Disclosure,False,0,2,2,2,0,5. Investment decisions and audit oversight
Profitability,Business Financial,False,7,4,11,4,7,4. Firm performance and investment
Stock price,Market Characteristics & Outcomes,False,5,2,7,2,5,4. Firm performance and investment
Equity,Business Financial,False,3,0,3,0,3,4. Firm performance and investment
Profitability growth,Business Financial,False,0,1,1,1,0,4. Firm performance and investment
Stock safety,Market Characteristics & Outcomes,False,0,1,1,1,0,4. Firm performance and investment
Book-tax conformity,Tax & Financial Planning,False,0,4,4,4,0,8. Earnings management and enforcement
Earnings quality,Corporate Governance & Control,False,5,2,7,2,5,10. Auditor choice and earnings quality
Earnings management,Corporate Governance & Control,False,21,2,23,2,22,8. Earnings management and enforcement
Tax regime,Tax & Financial Planning,False,0,2,2,2,0,3. Tax avoidance and investor protection
Tax enforcement,Tax & Financial Planning,False,0,4,4,4,0,3. Tax avoidance and investor protection
Tax evasion,Tax & Financial Planning,False,1,0,1,0,1,3. Tax avoidance and investor protection
Price informativeness,Market Characteristics & Outcomes,False,4,0,4,0,4,10. Auditor choice and earnings quality
Investor protection,Market Participants & Information Environment,False,0,15,15,15,0,3. Tax avoidance and investor protection
Cross‐listed firms' SOX compliance,Oversight & Regulation,False,2,0,2,0,2,7. Transparency and firm value
Directorial labor market,Corporate Governance & Control,False,2,0,2,0,2,3. Tax avoidance and investor protection
Asymmetric timeliness,Financial Reporting & Disclosure,False,3,0,3,0,3,Smaller community
Mandatory auditor reporting,Financial Reporting & Disclosure,False,0,1,1,1,0,13. Bank risk-taking and state ownership
Bank transparency,Banking & Financial Institutions,False,0,1,1,1,0,5. Investment decisions and audit oversight
Credit supply,Banking & Financial Institutions,False,4,0,4,0,4,5. Investment decisions and audit oversight
Financial liquidity,Banking & Financial Institutions,False,0,1,1,1,0,5. Investment decisions and audit oversight
Bank securitization,Banking & Financial Institutions,False,0,1,1,1,0,5. Investment decisions and audit oversight
Foreign competition for shares,Market Participants & Information Environment,False,0,1,1,1,0,12. Cost of equity and legal environment
Importance of debt markets,Market Characteristics & Outcomes,False,0,2,2,2,0,Outside largest component
Timeliness,Financial Reporting & Disclosure,False,2,0,2,0,2,Outside largest component
Conservatism,Financial Reporting & Disclosure,False,2,0,2,0,2,Outside largest component
Importance of equity markets,Market Characteristics & Outcomes,False,0,2,2,2,0,Outside largest component
Cross-listing,International Business & Cross-border Activities,False,2,9,11,10,2,1. IFRS adoption and market liquidity
Cost of credit capital,Tax & Financial Planning,False,2,0,2,0,2,1. IFRS adoption and market liquidity
Timely loss recognition,Financial Reporting & Disclosure,False,5,0,5,0,5,6. Standards differences and disclosure informativeness
Labor adjustment costs,Economics,True,0,1,1,1,0,9. Legal regime and earnings management
Cost stickiness,Business Financial,False,4,0,4,0,4,9. Legal regime and earnings management
Stock recommendations,Market Participants & Information Environment,False,3,0,3,0,3,2. Analyst forecasts and reporting quality
Future excess returns,Market Characteristics & Outcomes,False,2,1,3,1,2,2. Analyst forecasts and reporting quality
Individual investor participation,Market Participants & Information Environment,False,0,2,2,2,0,2. Analyst forecasts and reporting quality
Analyst characteristics,Market Participants & Information Environment,False,0,1,1,2,0,2. Analyst forecasts and reporting quality
Legal regime,Political Science,True,0,8,8,8,0,9. Legal regime and earnings management
Financial transparency,Corporate Governance & Control,False,2,2,4,2,2,9. Legal regime and earnings management
Governance transparency,Corporate Governance & Control,False,2,0,2,0,2,9. Legal regime and earnings management
Big 4 audit fees,Audit & Assurance,False,1,0,1,0,1,9. Legal regime and earnings management
Big 4 audit fees premium,Audit & Assurance,False,1,0,1,0,1,9. Legal regime and earnings management
Country-pair homophily,Political Science,True,0,1,1,1,0,Outside largest component
Foreign director appointments,Corporate Governance & Control,False,1,0,1,0,1,Outside largest component
IFRS adoption,Financial Reporting & Disclosure,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Valuation performance,Market Characteristics & Outcomes,False,1,0,1,0,1,2. Analyst forecasts and reporting quality
Government political orientation,Political Science,True,0,1,1,1,0,12. Cost of equity and legal environment
Democracy,Political Science,True,0,1,1,1,0,12. Cost of equity and legal environment
Government stability,Political Science,True,0,1,1,1,0,12. Cost of equity and legal environment
Government expropriation risk,Political Science,True,0,1,1,1,0,12. Cost of equity and legal environment
MNC-parent incentives,Business Financial,False,0,1,1,1,0,Outside largest component
Subsidiary earnings management,Corporate Governance & Control,False,8,0,8,0,8,Outside largest component
MNC structure,Business Non-financial,False,0,1,1,1,0,Outside largest component
MNC-parent balance sheet bloat,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Subsidiary integration,Business Non-financial,False,0,1,1,1,0,Outside largest component
Subsidiary earnings management opportunity,Corporate Governance & Control,False,0,1,1,1,0,Outside largest component
Subsidiary country institutional quality,Political Science,True,0,1,1,1,0,Outside largest component
Parent country institutional quality,Political Science,True,0,1,1,1,0,Outside largest component
Regulatory arbitrage opportunities,Political Science,True,0,1,1,1,0,Outside largest component
Tax rate,Tax & Financial Planning,False,0,1,1,1,0,3. Tax avoidance and investor protection
Local investment efficiency,Tax & Financial Planning,False,1,0,1,0,1,3. Tax avoidance and investor protection
MNC listing status,International Business & Cross-border Activities,False,0,1,1,1,0,3. Tax avoidance and investor protection
Accounting earnings,Corporate Governance & Control,False,0,2,2,2,0,Smaller community
Earnings opacity,Corporate Governance & Control,False,1,2,3,2,1,Smaller community
Dividend uncertainty,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Information demand,Market Participants & Information Environment,False,1,0,1,0,1,Outside largest component
Analyst dividend forecast,Market Participants & Information Environment,False,0,1,1,1,0,Outside largest component
Forecast usefulness,Market Participants & Information Environment,False,1,0,1,0,1,Outside largest component
Broker characteristics,Market Participants & Information Environment,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Institutional characteristics,Political Science,True,0,1,1,1,0,2. Analyst forecasts and reporting quality
Regulatory characteristics,Political Science,True,0,1,1,1,0,2. Analyst forecasts and reporting quality
Target price characteristics,Market Participants & Information Environment,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
EPS forecast characteristics,Market Participants & Information Environment,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Firm characteristics,Market Characteristics & Outcomes,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Mandatory disclosure,Financial Reporting & Disclosure,False,0,4,4,4,0,4. Firm performance and investment
MNC payment to host government,Business Non-financial,False,1,0,1,0,1,4. Firm performance and investment
Initial coin offerings,Market Characteristics & Outcomes,False,3,0,3,0,3,11. Voluntary disclosure and regulation
Cost of capital,Tax & Financial Planning,False,1,0,1,0,1,11. Voluntary disclosure and regulation
Regulatory harmonization,Political Science,True,0,1,1,1,0,Outside largest component
Cross-border labor migration,Economics,True,1,0,1,0,1,Outside largest component
Capital gain taxes,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Pricing spread,Market Characteristics & Outcomes,False,2,0,2,0,2,Outside largest component
Arbitrage,Market Participants & Information Environment,False,0,1,1,1,0,Outside largest component
Transfer pricing incentives,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Transfer pricing,Tax & Financial Planning,False,3,0,3,0,3,Outside largest component
Governmental coordination,Business Non-financial,False,0,1,1,1,0,Outside largest component
Corporate coordination,Business Non-financial,False,0,1,1,1,0,Outside largest component
Organizational structure,Corporate Governance & Control,False,1,3,4,3,1,10. Auditor choice and earnings quality
Earnings quality demand,Corporate Governance & Control,False,1,0,1,0,1,10. Auditor choice and earnings quality
Disclosure regulation,Financial Reporting & Disclosure,False,0,5,5,6,0,11. Voluntary disclosure and regulation
M&A activity,Business Non-financial,False,3,0,3,0,3,11. Voluntary disclosure and regulation
Ownership concentration,Corporate Governance & Control,False,3,0,3,0,3,11. Voluntary disclosure and regulation
Financial reporting opacity,Financial Reporting & Disclosure,False,0,3,3,3,0,Outside largest component
Trading opacity,Market Characteristics & Outcomes,False,1,0,1,0,1,Outside largest component
Stock price crash risk,Market Characteristics & Outcomes,False,2,0,2,0,2,Outside largest component
Institutional informed trading,Market Participants & Information Environment,False,1,0,1,0,1,Outside largest component
Country-level earnings quality,Corporate Governance & Control,False,0,1,1,1,0,11. Voluntary disclosure and regulation
Internal governance,Corporate Governance & Control,False,0,1,1,1,0,11. Voluntary disclosure and regulation
Information intermediaries,Market Participants & Information Environment,False,0,1,1,1,0,11. Voluntary disclosure and regulation
IP box,Business Non-financial,False,0,1,1,1,0,Outside largest component
M&A,Business Non-financial,False,3,0,3,0,3,Outside largest component
IP box tax planning,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
IP box transaction cost,Business Financial,False,0,1,1,1,0,Outside largest component
Accounting choice conformity,Financial Reporting & Disclosure,False,0,1,1,1,0,1. IFRS adoption and market liquidity
Firm visibility,International Business & Cross-border Activities,False,0,1,1,1,0,1. IFRS adoption and market liquidity
Analyst-country institutional infrastructure,Market Participants & Information Environment,False,0,2,2,2,0,Outside largest component
Analyst forecast optimism,Market Participants & Information Environment,False,1,0,1,0,1,Outside largest component
Analyst return predictivity,Market Participants & Information Environment,False,1,0,1,0,1,Outside largest component
Financial reporting regulation,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Industry-wide resource allocation,Business Non-financial,False,1,0,1,0,1,Outside largest component
Managers' cultural background,Sociology,True,0,1,1,1,0,Outside largest component
Disclosure tone,Communication,True,2,0,2,0,2,Outside largest component
Manager exposure to different culture,Sociology,True,0,1,1,1,0,Outside largest component
Manager collectivism,Sociology,True,0,1,1,1,0,Outside largest component
Analyst reaction,Market Participants & Information Environment,False,2,0,2,0,2,Outside largest component
Analyst collectivism,Sociology,True,0,1,1,1,0,Outside largest component
Linguistic opacity,Communication,True,0,1,1,1,0,Smaller community
Firm location,Business Non-financial,False,0,1,1,1,0,Smaller community
Anglophone manager,Communication,True,0,1,1,1,0,Smaller community
Regulatory environment,Political Science,True,0,1,1,1,0,8. Earnings management and enforcement
Institutional differences in loans,Banking & Financial Institutions,False,0,5,5,5,0,Outside largest component
Credit spread,Banking & Financial Institutions,False,1,0,1,0,1,Outside largest component
Borrower-lender relationship,Market Participants & Information Environment,False,1,0,1,0,1,Outside largest component
Loan syndicate,Tax & Financial Planning,False,1,0,1,0,1,Outside largest component
Reliance on financial covenants,Tax & Financial Planning,False,1,0,1,0,1,Outside largest component
Financial covenants,Tax & Financial Planning,False,1,0,1,0,1,Outside largest component
Political economy,Political Science,True,0,2,2,2,0,9. Legal regime and earnings management
Accounting discretion,Financial Reporting & Disclosure,False,0,1,1,1,0,13. Bank risk-taking and state ownership
Enforcement regimes,Political Science,True,0,1,1,1,0,1. IFRS adoption and market liquidity
Domestic accounting standards,Financial Reporting & Disclosure,False,0,1,1,1,0,1. IFRS adoption and market liquidity
Auditor specialization,Audit & Assurance,False,0,1,1,1,0,8. Earnings management and enforcement
Auditor type,Audit & Assurance,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Board independence,Corporate Governance & Control,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Political connections,Political Science,True,0,2,2,2,0,10. Auditor choice and earnings quality
Book value,Financial Reporting & Disclosure,False,0,2,2,2,0,4. Firm performance and investment
Expected stock returns,Market Characteristics & Outcomes,False,1,0,1,0,1,4. Firm performance and investment
Foreign component auditors,Audit & Assurance,False,0,2,2,2,0,2. Analyst forecasts and reporting quality
MNC valuation,Market Characteristics & Outcomes,False,1,0,1,0,1,2. Analyst forecasts and reporting quality
Financial reporting quality,Financial Reporting & Disclosure,False,2,6,8,6,2,2. Analyst forecasts and reporting quality
Disclosure,Financial Reporting & Disclosure,False,0,1,1,1,0,Smaller community
Economic freedom,Political Science,True,0,3,3,3,0,4. Firm performance and investment
Political uncertainty,Political Science,True,0,2,2,2,0,9. Legal regime and earnings management
Investor demand for financial reporting quality,Market Participants & Information Environment,False,4,0,4,0,4,9. Legal regime and earnings management
Electoral margin,Political Science,True,0,1,1,1,0,9. Legal regime and earnings management
Government involvement in economy,Political Science,True,0,1,1,1,0,9. Legal regime and earnings management
Transaction costs,Market Participants & Information Environment,False,0,1,1,1,0,9. Legal regime and earnings management
Financing source,Tax & Financial Planning,False,0,1,1,1,0,Smaller community
Tax incentives,Tax & Financial Planning,False,0,4,4,4,0,Smaller community
Foreign profits,Business Financial,False,2,0,2,0,2,Smaller community
R&D investment,Tax & Financial Planning,False,4,1,5,1,4,Smaller community
Production location,Business Non-financial,False,2,0,2,0,2,Smaller community
IFRS version,Financial Reporting & Disclosure,False,0,1,1,1,0,Smaller community
Country institution,Political Science,True,0,2,2,2,0,3. Tax avoidance and investor protection
Information usefulness,Market Characteristics & Outcomes,False,3,0,3,0,3,1. IFRS adoption and market liquidity
Auditor quality,Audit & Assurance,False,0,1,1,1,0,9. Legal regime and earnings management
Financial disclosure,Financial Reporting & Disclosure,False,0,2,2,2,0,6. Standards differences and disclosure informativeness
Capital market entry,Market Characteristics & Outcomes,False,1,0,1,0,1,6. Standards differences and disclosure informativeness
Country legal liability,Political Science,True,0,1,1,1,0,8. Earnings management and enforcement
Capital-raising needs,Tax & Financial Planning,False,0,3,3,3,0,11. Voluntary disclosure and regulation
Corporate debt maturity,Tax & Financial Planning,False,2,0,2,0,2,10. Auditor choice and earnings quality
Firm transparency,Corporate Governance & Control,False,3,12,15,13,3,7. Transparency and firm value
Country legal environment,Political Science,True,0,4,4,4,0,12. Cost of equity and legal environment
Income smoothing,Tax & Financial Planning,False,2,0,2,0,2,12. Cost of equity and legal environment
Foreign earnings management,Corporate Governance & Control,False,2,0,2,0,2,12. Cost of equity and legal environment
Firm risks,Business Financial,False,0,1,1,1,0,10. Auditor choice and earnings quality
Changes in enforcement,Oversight & Regulation,False,0,1,1,1,0,1. IFRS adoption and market liquidity
FCPA enforcement,Oversight & Regulation,False,0,1,1,1,0,Outside largest component
FDI in corrupt countries,Tax & Financial Planning,False,1,0,1,0,1,Outside largest component
Domestic security regulation,Oversight & Regulation,False,0,1,1,1,0,Outside largest component
Household equity ownership,Market Participants & Information Environment,False,3,0,3,0,3,Outside largest component
Foreign security regulation,Oversight & Regulation,False,0,1,1,1,0,Outside largest component
Trust in stock market,Sociology,True,0,1,1,1,0,Outside largest component
Valuation ratios,Market Characteristics & Outcomes,False,0,3,3,3,0,Outside largest component
Future returns,Market Characteristics & Outcomes,False,1,0,1,0,1,Outside largest component
Future profitability,Market Characteristics & Outcomes,False,1,0,1,0,1,Outside largest component
Future P/B ratios,Market Characteristics & Outcomes,False,1,0,1,0,1,Outside largest component
Net transfer tax,Tax & Financial Planning,False,0,4,4,4,0,Outside largest component
Cross-border dividend,Tax & Financial Planning,False,1,0,1,0,1,Outside largest component
Cross-border interest,International Business & Cross-border Activities,False,1,0,1,0,1,Outside largest component
Cross-border royalty,International Business & Cross-border Activities,False,1,0,1,0,1,Outside largest component
Cross-border management fee,International Business & Cross-border Activities,False,1,0,1,0,1,Outside largest component
Time trend,Market Participants & Information Environment,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Voluntary IAS adoption,Financial Reporting & Disclosure,False,0,1,1,1,0,10. Auditor choice and earnings quality
Foreign ownership,Market Participants & Information Environment,False,1,1,2,1,1,10. Auditor choice and earnings quality
Asset age,Business Financial,False,0,2,2,2,0,4. Firm performance and investment
Asset turnover ratio,Business Financial,False,1,0,1,0,1,4. Firm performance and investment
Asset turnover forecast error,Market Participants & Information Environment,False,1,1,2,1,1,4. Firm performance and investment
Voluntary IFRS adoption,Financial Reporting & Disclosure,False,0,8,8,8,0,1. IFRS adoption and market liquidity
Credit availability,Tax & Financial Planning,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Loan nonprice terms,Tax & Financial Planning,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Loan ownership structure,Tax & Financial Planning,False,1,0,1,0,1,1. IFRS adoption and market liquidity
Wage savings,Economics,True,0,1,1,1,0,Smaller community
Affiliate profitability,Business Financial,False,0,1,1,1,0,3. Tax avoidance and investor protection
Geographic disclosures,Financial Reporting & Disclosure,False,0,3,3,3,0,10. Auditor choice and earnings quality
Labor investment,Economics,True,1,0,1,0,1,10. Auditor choice and earnings quality
Fair value accounting,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Performance evaluation role of earnings,Corporate Governance & Control,False,1,0,1,0,1,Outside largest component
Insider trading law enforcement,Oversight & Regulation,False,0,3,3,3,0,6. Standards differences and disclosure informativeness
Frequency of earnings reporting,Financial Reporting & Disclosure,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
Financial statement based forecast accuracy,Market Participants & Information Environment,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Concurrent enforcement changes,Oversight & Regulation,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Analyst forecast condition,Market Participants & Information Environment,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Foreign exchange risk,Business Financial,False,0,1,1,1,0,3. Tax avoidance and investor protection
Foreign currency hedging,Tax & Financial Planning,False,0,1,1,1,0,3. Tax avoidance and investor protection
Insider trading restrictions,Market Participants & Information Environment,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
CSR disclosure,Financial Reporting & Disclosure,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Stakeholder orientation,Sociology,True,0,1,1,1,0,2. Analyst forecasts and reporting quality
Individualism,Psychology,True,0,3,3,3,0,13. Bank risk-taking and state ownership
Earnings momentum,Market Characteristics & Outcomes,False,2,0,2,0,2,13. Bank risk-taking and state ownership
Accounting conservatism,Financial Reporting & Disclosure,False,3,0,3,0,3,13. Bank risk-taking and state ownership
Uncertainty avoidance,Psychology,True,0,3,3,3,0,13. Bank risk-taking and state ownership
Relationship-specific investment,Tax & Financial Planning,False,0,1,1,1,0,12. Cost of equity and legal environment
Disclosure frequency,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Market value of cash,Market Characteristics & Outcomes,False,1,0,1,0,1,Outside largest component
Offshore operations in tax havens,Tax & Financial Planning,False,0,2,2,2,0,12. Cost of equity and legal environment
Foreign operations located in tax havens,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
MNC corporate tax rates,Tax & Financial Planning,False,2,0,2,0,2,Outside largest component
Foreign operations located in non-tax havens,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Corruption in subsidiary country,Political Science,True,0,1,1,1,0,Smaller community
Foreign investment risk in subsidiary country,Tax & Financial Planning,False,0,1,1,1,0,Smaller community
Trapped cash,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Profitability of foreign acquisitions,Business Financial,False,2,0,2,0,2,Outside largest component
Repatriation tax holiday,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Global audit firm networks,Audit & Assurance,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
ISA adoption,Financial Reporting & Disclosure,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Economic policy uncertainty,Political Science,True,0,1,1,1,0,5. Investment decisions and audit oversight
Firm home country,Business Non-financial,False,0,1,1,1,0,12. Cost of equity and legal environment
