article_id,citation,authors,year,journal,title,doi,source,target
Alford1993,Alford et al. (1993),"Alford, Andrew; Jones, Jennifer; Leftwich, Richard; Zmijewski, Mark",1993,Journal of Accounting Research,The Relative Informativeness of Accounting Disclosures in Different Countries,https://doi.org/10.2307/2491170,Corporate governance,Earnings informativeness
Amir1993a,Amir et al. (1993),"Amir, Eli; Harris, Trevor S.; Venuti, Elizabeth K",1993,Journal of Accounting Research,A Comparison of the Value-Relevance of U.S. Versus Non-U.S. GAAP Accounting Measures Using Form 20-F Reconciliations,,Accounting standards reconciliation,Value relevance
Amiram2019,Amiram et al. (2019),"Amiram, Dan; Bauer, Andrew M.; Frank, Mary Margaret",2019,The Accounting Review,Tax avoidance at public corporations driven by shareholder taxes: Evidence from changes in dividend tax policy,https://doi.org/10.2308/accr-52315,Dividend tax,Tax avoidance
Amiram2016,Amiram and Frank (2016),"Amiram, Dan; Frank, Mary Margaret",2016,The Accounting Review,Foreign portfolio investment and shareholder dividend taxes,https://doi.org/10.2308/accr-51264,Dividend tax,Foreign portfolio investment
Andries2017,Andries et al. (2017),"Andries, Kathleen; Gallemore, John; Jacob, Martin",2017,Journal of Accounting and Economics,The effect of corporate taxation on bank transparency: Evidence from loan loss provisions,https://doi.org/10.1016/j.jacceco.2017.03.004,Corporate tax rate,Loan loss provision
Andries2017,Andries et al. (2017),"Andries, Kathleen; Gallemore, John; Jacob, Martin",2017,Journal of Accounting and Economics,The effect of corporate taxation on bank transparency: Evidence from loan loss provisions,https://doi.org/10.1016/j.jacceco.2017.03.004,Loan loss provision deductibility,Loan loss provision
Andries2017,Andries et al. (2017),"Andries, Kathleen; Gallemore, John; Jacob, Martin",2017,Journal of Accounting and Economics,The effect of corporate taxation on bank transparency: Evidence from loan loss provisions,https://doi.org/10.1016/j.jacceco.2017.03.004,Corporate tax rate,Timely loan loss recognition
Andries2017,Andries et al. (2017),"Andries, Kathleen; Gallemore, John; Jacob, Martin",2017,Journal of Accounting and Economics,The effect of corporate taxation on bank transparency: Evidence from loan loss provisions,https://doi.org/10.1016/j.jacceco.2017.03.004,Loan loss provision deductibility,Timely loan loss recognition
Andries2017,Andries et al. (2017),"Andries, Kathleen; Gallemore, John; Jacob, Martin",2017,Journal of Accounting and Economics,The effect of corporate taxation on bank transparency: Evidence from loan loss provisions,https://doi.org/10.1016/j.jacceco.2017.03.004,Non-performing loans,Timely loan loss recognition
Andries2017,Andries et al. (2017),"Andries, Kathleen; Gallemore, John; Jacob, Martin",2017,Journal of Accounting and Economics,The effect of corporate taxation on bank transparency: Evidence from loan loss provisions,https://doi.org/10.1016/j.jacceco.2017.03.004,Corporate tax rate,Risk-taking
Andries2017,Andries et al. (2017),"Andries, Kathleen; Gallemore, John; Jacob, Martin",2017,Journal of Accounting and Economics,The effect of corporate taxation on bank transparency: Evidence from loan loss provisions,https://doi.org/10.1016/j.jacceco.2017.03.004,Loan loss provision deductibility,Risk-taking
Aobdia2017,Aobdia and Shroff (2017),"Aobdia, Daniel; Shroff, Nemit",2017,Journal of Accounting and Economics,Regulatory oversight and auditor market share,https://doi.org/10.1016/j.jacceco.2017.03.001,PCAOB inspection,Auditor market share
Armstrong2010,Armstrong et al. (2010),"Armstrong, Christopher S.; Barth, Mary E.; Jagolinzer, Alan D.; Riedl, Edward J.",2010,The Accounting Review,Market reaction to the adoption of IFRS in Europe,https://doi.org/10.2308/accr.2010.85.1.31,Mandatory IFRS adoption,Market reaction
Armstrong2010,Armstrong et al. (2010),"Armstrong, Christopher S.; Barth, Mary E.; Jagolinzer, Alan D.; Riedl, Edward J.",2010,The Accounting Review,Market reaction to the adoption of IFRS in Europe,https://doi.org/10.2308/accr.2010.85.1.31,Pre-adoption information quality,Market reaction
Arping2013,Arping and Sautner (2013),"Arping, Stefan; Sautner, Zacharias",2013,Contemporary Accounting Research,Did SOX Section 404 Make Firms Less Opaque? Evidence from Cross-Listed Firms,https://doi.org/10.1111/j.1911-3846.2012.01188.x,SOX adoption,Analyst forecast accuracy
Arping2013,Arping and Sautner (2013),"Arping, Stefan; Sautner, Zacharias",2013,Contemporary Accounting Research,Did SOX Section 404 Make Firms Less Opaque? Evidence from Cross-Listed Firms,https://doi.org/10.1111/j.1911-3846.2012.01188.x,SOX adoption,Analyst forecast dispersion
Ashbaugh2001,Ashbaugh and Pincus (2001),"Ashbaugh, Hollis; Pincus, Morton",2001,Journal of Accounting Research,"Domestic accounting standards, international accounting standards, and the predictability of earnings",https://doi.org/10.1111/1475-679X.00020,Accounting standards differences,Analyst forecast accuracy
Ashbaugh2001,Ashbaugh and Pincus (2001),"Ashbaugh, Hollis; Pincus, Morton",2001,Journal of Accounting Research,"Domestic accounting standards, international accounting standards, and the predictability of earnings",https://doi.org/10.1111/1475-679X.00020,Mandatory IAS adoption,Analyst forecast accuracy
Asness2019,Asness et al. (2019),"Asness, Clifford S.; Frazzini, Andrea; Pedersen, Lasse H.",2019,Review of Accounting Studies,Quality minus junk discussion,,Profitability,Stock price
Asness2019,Asness et al. (2019),"Asness, Clifford S.; Frazzini, Andrea; Pedersen, Lasse H.",2019,Review of Accounting Studies,Quality minus junk discussion,,Profitability growth,Stock price
Asness2019,Asness et al. (2019),"Asness, Clifford S.; Frazzini, Andrea; Pedersen, Lasse H.",2019,Review of Accounting Studies,Quality minus junk discussion,,Stock safety,Stock price
Atwood2012a,Atwood et al. (2012),"Atwood, T. J.; Drake, Michael S.; Myers, James N.; Myers, Linda A.",2012,The Accounting Review,Home country tax system characteristics and corporate tax avoidance: International evidence,https://doi.org/10.2308/accr-50222,Book-tax conformity,Tax avoidance
Atwood2012a,Atwood et al. (2012),"Atwood, T. J.; Drake, Michael S.; Myers, James N.; Myers, Linda A.",2012,The Accounting Review,Home country tax system characteristics and corporate tax avoidance: International evidence,https://doi.org/10.2308/accr-50222,Tax regime,Tax avoidance
Atwood2012a,Atwood et al. (2012),"Atwood, T. J.; Drake, Michael S.; Myers, James N.; Myers, Linda A.",2012,The Accounting Review,Home country tax system characteristics and corporate tax avoidance: International evidence,https://doi.org/10.2308/accr-50222,Tax enforcement,Tax avoidance
Atwood2010,Atwood et al. (2010),"Atwood, T. J.; Drake, Michael S.; Myers, Linda A.",2010,Journal of Accounting and Economics,"Book-tax conformity, earnings persistence and the association between earnings and future cash flows",https://doi.org/10.1016/j.jacceco.2009.11.001,Book-tax conformity,Earnings quality
Atwood2019,Atwood and Lewellen (2019),"Atwood, T. J.; Lewellen, Christina",2019,Contemporary Accounting Research,The Complementarity between Tax Avoidance and Manager Diversion: Evidence from Tax Haven Firms,https://doi.org/10.1111/1911-3846.12421,Tax avoidance,Dividend policy
Atwood2019,Atwood and Lewellen (2019),"Atwood, T. J.; Lewellen, Christina",2019,Contemporary Accounting Research,The Complementarity between Tax Avoidance and Manager Diversion: Evidence from Tax Haven Firms,https://doi.org/10.1111/1911-3846.12421,Investor protection,Dividend policy
Atwood2019,Atwood and Lewellen (2019),"Atwood, T. J.; Lewellen, Christina",2019,Contemporary Accounting Research,The Complementarity between Tax Avoidance and Manager Diversion: Evidence from Tax Haven Firms,https://doi.org/10.1111/1911-3846.12421,Tax avoidance,Financial performance
Atwood2019,Atwood and Lewellen (2019),"Atwood, T. J.; Lewellen, Christina",2019,Contemporary Accounting Research,The Complementarity between Tax Avoidance and Manager Diversion: Evidence from Tax Haven Firms,https://doi.org/10.1111/1911-3846.12421,Investor protection,Financial performance
Atwood2019,Atwood and Lewellen (2019),"Atwood, T. J.; Lewellen, Christina",2019,Contemporary Accounting Research,The Complementarity between Tax Avoidance and Manager Diversion: Evidence from Tax Haven Firms,https://doi.org/10.1111/1911-3846.12421,Tax avoidance,Overinvestment
Atwood2019,Atwood and Lewellen (2019),"Atwood, T. J.; Lewellen, Christina",2019,Contemporary Accounting Research,The Complementarity between Tax Avoidance and Manager Diversion: Evidence from Tax Haven Firms,https://doi.org/10.1111/1911-3846.12421,Investor protection,Overinvestment
Bae2008b,Bae et al. (2008),"Bae, Kee-Hong; Tan, Hongping; Welker, Michael",2008,The Accounting Review,International GAAP Differences: The Impact on Foreign Analysts,,Accounting standards differences,Foreign analyst following
Bae2008b,Bae et al. (2008),"Bae, Kee-Hong; Tan, Hongping; Welker, Michael",2008,The Accounting Review,International GAAP Differences: The Impact on Foreign Analysts,,Accounting standards differences,Foreign analyst forecast accuracy
Balakrishnan2021,Balakrishnan et al. (2021),"Balakrishnan, Karthik; De George, Emmanuel T.; Ertan, Aytekin; Scobie, Hannah",2021,Journal of Accounting and Economics,Economic consequences of mandatory auditor reporting to bank regulators,https://doi.org/10.1016/j.jacceco.2021.101431,Mandatory auditor reporting,Risk-taking
Balakrishnan2019a,Balakrishnan and Ertan (2019),"Balakrishnan, Karthik; Ertan, Aytekin",2019,Review of Accounting Studies,Bank asset transparency and credit supply,https://doi.org/10.1007/s11142-019-09510-2,Bank transparency,Credit supply
Balakrishnan2019a,Balakrishnan and Ertan (2019),"Balakrishnan, Karthik; Ertan, Aytekin",2019,Review of Accounting Studies,Bank asset transparency and credit supply,https://doi.org/10.1007/s11142-019-09510-2,Financial liquidity,Credit supply
Balakrishnan2019a,Balakrishnan and Ertan (2019),"Balakrishnan, Karthik; Ertan, Aytekin",2019,Review of Accounting Studies,Bank asset transparency and credit supply,https://doi.org/10.1007/s11142-019-09510-2,Capital raising,Credit supply
Balakrishnan2019a,Balakrishnan and Ertan (2019),"Balakrishnan, Karthik; Ertan, Aytekin",2019,Review of Accounting Studies,Bank asset transparency and credit supply,https://doi.org/10.1007/s11142-019-09510-2,Bank securitization,Credit supply
Balakrishnan2019,Balakrishnan et al. (2019),"Balakrishnan, Karthik; Vashishtha, Rahul; Verrecchia, Robert E.",2019,Journal of Accounting and Economics,Foreign competition for shares and the pricing of information asymmetry: Evidence from equity market liberalization,https://doi.org/10.1016/j.jacceco.2018.08.015,Foreign competition for shares,Cost of equity
Ball2015,Ball et al. (2015),"Ball, Ray; Li, Xi; Shivakumar, Lakshmanan",2015,Journal of Accounting Research,Contractibility and Transparency of Financial Statement Information Prepared Under IFRS: Evidence from Debt Contracts Around IFRS Adoption,https://doi.org/10.1111/1475-679X.12095,Mandatory IFRS adoption,Debt covenants
Ball2008,Ball et al. (2008),"Ball, Ray; Robin, Ashok; Sadka, Gil",2008,Review of Accounting Studies,Is financial reporting shaped by equity markets or by debt markets? An international study of timeliness and conservatism,https://doi.org/10.1007/s11142-007-9064-x,Importance of debt markets,Timeliness
Ball2008,Ball et al. (2008),"Ball, Ray; Robin, Ashok; Sadka, Gil",2008,Review of Accounting Studies,Is financial reporting shaped by equity markets or by debt markets? An international study of timeliness and conservatism,https://doi.org/10.1007/s11142-007-9064-x,Importance of debt markets,Conservatism
Ball2008,Ball et al. (2008),"Ball, Ray; Robin, Ashok; Sadka, Gil",2008,Review of Accounting Studies,Is financial reporting shaped by equity markets or by debt markets? An international study of timeliness and conservatism,https://doi.org/10.1007/s11142-007-9064-x,Importance of equity markets,Timeliness
Ball2008,Ball et al. (2008),"Ball, Ray; Robin, Ashok; Sadka, Gil",2008,Review of Accounting Studies,Is financial reporting shaped by equity markets or by debt markets? An international study of timeliness and conservatism,https://doi.org/10.1007/s11142-007-9064-x,Importance of equity markets,Conservatism
Ball2018,Ball et al. (2018),"Ball, Ryan T.; Hail, Luzi; Vasvari, Florin P.",2018,Review of Accounting Studies,Equity cross-listings in the U.S. and the price of debt,https://doi.org/10.1007/s11142-017-9424-0,Cross-listing,Cost of credit capital
Banker2013,Banker et al. (2013),"Banker, Rajiv D.; Byzalov, Dmitri; Chen, Lei Tony",2013,Journal of Accounting and Economics,"Employment protection legislation, adjustment costs and cross-country differences in cost behavior",https://doi.org/10.1016/j.jacceco.2012.08.003,Labor adjustment costs,Cost stickiness
Barniv2010,Barniv et al. (2010),"Barniv, Ran; Hope, Ole-Kristian; Myring, Mark J.; Thomas, Wayne B.",2010,Contemporary Accounting Research,"International Evidence on Analyst Stock Recommendations, Valuations, and Returns",https://doi.org/10.1111/j.1911-3846.2010.01036.x,Valuation,Stock recommendations
Barniv2010,Barniv et al. (2010),"Barniv, Ran; Hope, Ole-Kristian; Myring, Mark J.; Thomas, Wayne B.",2010,Contemporary Accounting Research,"International Evidence on Analyst Stock Recommendations, Valuations, and Returns",https://doi.org/10.1111/j.1911-3846.2010.01036.x,Individual investor participation,Stock recommendations
Barniv2010,Barniv et al. (2010),"Barniv, Ran; Hope, Ole-Kristian; Myring, Mark J.; Thomas, Wayne B.",2010,Contemporary Accounting Research,"International Evidence on Analyst Stock Recommendations, Valuations, and Returns",https://doi.org/10.1111/j.1911-3846.2010.01036.x,Valuation,Future excess returns
Barniv2010,Barniv et al. (2010),"Barniv, Ran; Hope, Ole-Kristian; Myring, Mark J.; Thomas, Wayne B.",2010,Contemporary Accounting Research,"International Evidence on Analyst Stock Recommendations, Valuations, and Returns",https://doi.org/10.1111/j.1911-3846.2010.01036.x,Individual investor participation,Future excess returns
Barniv2010,Barniv et al. (2010),"Barniv, Ran; Hope, Ole-Kristian; Myring, Mark J.; Thomas, Wayne B.",2010,Contemporary Accounting Research,"International Evidence on Analyst Stock Recommendations, Valuations, and Returns",https://doi.org/10.1111/j.1911-3846.2010.01036.x,Future excess returns,Stock recommendations
Barniv2005,Barniv et al. (2005),"Barniv, Ran; Myring, Mark J.; Thomas, Wayne B.",2005,Contemporary Accounting Research,The Association between the Legal and Financial Reporting Environments and Forecast Performance of Individual Analysts,https://doi.org/10.1506/75CE-HAT9-RH17-LAD7,Analyst characteristics,Analyst forecast accuracy
Barniv2005,Barniv et al. (2005),"Barniv, Ran; Myring, Mark J.; Thomas, Wayne B.",2005,Contemporary Accounting Research,The Association between the Legal and Financial Reporting Environments and Forecast Performance of Individual Analysts,https://doi.org/10.1506/75CE-HAT9-RH17-LAD7,Legal regime,Analyst forecast accuracy
Barrios2022,Barrios et al. (2022),"Barrios, John M.; Bianchi, Pietro A.; Isidro, Helena; Nanda, Dhananjay",2022,Journal of Accounting Research,Boards of a Feather: Homophily in Foreign Director Appointments Around the World,https://doi.org/10.1111/1475-679X.12416,Country-pair homophily,Foreign director appointments
Barth2008,Barth et al. (2008),"Barth, Mary E.; Landsman, Wayne R.; Lang, Mark H.",2008,Journal of Accounting Research,International accounting standards and accounting quality,https://doi.org/10.1111/j.1475-679X.2008.00287.x,Mandatory IAS adoption,Accounting quality
Barth2012,Barth et al. (2012),"Barth, Mary E.; Landsman, Wayne R.; Lang, Mark H.; Williams, Christopher D.",2012,Journal of Accounting and Economics,Are IFRS-based and US GAAP-based accounting amounts comparable?,https://doi.org/10.1016/j.jacceco.2012.03.001,IFRS adoption,Financial reporting comparability
Ben-Nasr2012,Ben-Nasr et al. (2012),"Ben-Nasr, Hamdi; Boubakri, Narjess; Cosset, Jean Claude",2012,Journal of Accounting Research,The Political Determinants of the Cost of Equity: Evidence from Newly Privatized Firms,https://doi.org/10.1111/j.1475-679X.2011.00435.x,Government ownership,Cost of equity
Ben-Nasr2012,Ben-Nasr et al. (2012),"Ben-Nasr, Hamdi; Boubakri, Narjess; Cosset, Jean Claude",2012,Journal of Accounting Research,The Political Determinants of the Cost of Equity: Evidence from Newly Privatized Firms,https://doi.org/10.1111/j.1475-679X.2011.00435.x,Government political orientation,Cost of equity
Ben-Nasr2012,Ben-Nasr et al. (2012),"Ben-Nasr, Hamdi; Boubakri, Narjess; Cosset, Jean Claude",2012,Journal of Accounting Research,The Political Determinants of the Cost of Equity: Evidence from Newly Privatized Firms,https://doi.org/10.1111/j.1475-679X.2011.00435.x,Democracy,Cost of equity
Ben-Nasr2012,Ben-Nasr et al. (2012),"Ben-Nasr, Hamdi; Boubakri, Narjess; Cosset, Jean Claude",2012,Journal of Accounting Research,The Political Determinants of the Cost of Equity: Evidence from Newly Privatized Firms,https://doi.org/10.1111/j.1475-679X.2011.00435.x,Government stability,Cost of equity
Ben-Nasr2012,Ben-Nasr et al. (2012),"Ben-Nasr, Hamdi; Boubakri, Narjess; Cosset, Jean Claude",2012,Journal of Accounting Research,The Political Determinants of the Cost of Equity: Evidence from Newly Privatized Firms,https://doi.org/10.1111/j.1475-679X.2011.00435.x,Government expropriation risk,Cost of equity
Beuselinck2019,Beuselinck et al. (2019),"Beuselinck, Christof; Cascino, Stefano; Deloof, Marc; Vanstraelen, Ann",2019,The Accounting Review,Earnings management within multinational corporations,https://doi.org/10.2308/accr-52274,MNC-parent incentives,Subsidiary earnings management
Beuselinck2019,Beuselinck et al. (2019),"Beuselinck, Christof; Cascino, Stefano; Deloof, Marc; Vanstraelen, Ann",2019,The Accounting Review,Earnings management within multinational corporations,https://doi.org/10.2308/accr-52274,MNC structure,Subsidiary earnings management
Beuselinck2019,Beuselinck et al. (2019),"Beuselinck, Christof; Cascino, Stefano; Deloof, Marc; Vanstraelen, Ann",2019,The Accounting Review,Earnings management within multinational corporations,https://doi.org/10.2308/accr-52274,MNC-parent balance sheet bloat,Subsidiary earnings management
Beuselinck2019,Beuselinck et al. (2019),"Beuselinck, Christof; Cascino, Stefano; Deloof, Marc; Vanstraelen, Ann",2019,The Accounting Review,Earnings management within multinational corporations,https://doi.org/10.2308/accr-52274,Subsidiary integration,Subsidiary earnings management
Beuselinck2019,Beuselinck et al. (2019),"Beuselinck, Christof; Cascino, Stefano; Deloof, Marc; Vanstraelen, Ann",2019,The Accounting Review,Earnings management within multinational corporations,https://doi.org/10.2308/accr-52274,Subsidiary earnings management opportunity,Subsidiary earnings management
Beuselinck2019,Beuselinck et al. (2019),"Beuselinck, Christof; Cascino, Stefano; Deloof, Marc; Vanstraelen, Ann",2019,The Accounting Review,Earnings management within multinational corporations,https://doi.org/10.2308/accr-52274,Subsidiary country institutional quality,Subsidiary earnings management
Beuselinck2019,Beuselinck et al. (2019),"Beuselinck, Christof; Cascino, Stefano; Deloof, Marc; Vanstraelen, Ann",2019,The Accounting Review,Earnings management within multinational corporations,https://doi.org/10.2308/accr-52274,Parent country institutional quality,Subsidiary earnings management
Beuselinck2019,Beuselinck et al. (2019),"Beuselinck, Christof; Cascino, Stefano; Deloof, Marc; Vanstraelen, Ann",2019,The Accounting Review,Earnings management within multinational corporations,https://doi.org/10.2308/accr-52274,Regulatory arbitrage opportunities,Subsidiary earnings management
Beuselinck2015,Beuselinck et al. (2015),"Beuselinck, Christof; Deloof, Marc; Vanstraelen, Ann",2015,Review of Accounting Studies,Cross-jurisdictional income shifting and tax enforcement: evidence from public versus private multinationals,https://doi.org/10.1007/s11142-014-9310-y,Tax rate,Income shifting
Beuselinck2015,Beuselinck et al. (2015),"Beuselinck, Christof; Deloof, Marc; Vanstraelen, Ann",2015,Review of Accounting Studies,Cross-jurisdictional income shifting and tax enforcement: evidence from public versus private multinationals,https://doi.org/10.1007/s11142-014-9310-y,Tax enforcement,Income shifting
Beuselinck2015,Beuselinck et al. (2015),"Beuselinck, Christof; Deloof, Marc; Vanstraelen, Ann",2015,Review of Accounting Studies,Cross-jurisdictional income shifting and tax enforcement: evidence from public versus private multinationals,https://doi.org/10.1007/s11142-014-9310-y,MNC listing status,Income shifting
Bhattacharya2003,Bhattacharya et al. (2003),"Bhattacharya, Utpal; Daouk, Hazem; Welker, Michael",2003,The Accounting Review,The World Price of Earnings Opacity,,Accounting earnings,Earnings opacity
Bhattacharya2003,Bhattacharya et al. (2003),"Bhattacharya, Utpal; Daouk, Hazem; Welker, Michael",2003,The Accounting Review,The World Price of Earnings Opacity,,Earnings opacity,Cost of equity
Bhattacharya2003,Bhattacharya et al. (2003),"Bhattacharya, Utpal; Daouk, Hazem; Welker, Michael",2003,The Accounting Review,The World Price of Earnings Opacity,,Earnings opacity,Trading volume
Bilinski2022,Bilinski and Bradshaw (2022),"Bilinski, Pawel; Bradshaw, Mark T.",2022,The Accounting Review,Analyst Dividend Forecasts and Their Usefulness to Investors,https://doi.org/10.2308/tar-2018-0518,Dividend uncertainty,Information demand
Bilinski2022,Bilinski and Bradshaw (2022),"Bilinski, Pawel; Bradshaw, Mark T.",2022,The Accounting Review,Analyst Dividend Forecasts and Their Usefulness to Investors,https://doi.org/10.2308/tar-2018-0518,Analyst dividend forecast,Forecast usefulness
Bilinski2013,Bilinski et al. (2013),"Bilinski, Pawel; Lyssimachou, Danielle; Walker, Martin",2013,The Accounting Review,Target price accuracy: International evidence,https://doi.org/10.2308/accr-50378,Analyst characteristics,Analyst forecast accuracy
Bilinski2013,Bilinski et al. (2013),"Bilinski, Pawel; Lyssimachou, Danielle; Walker, Martin",2013,The Accounting Review,Target price accuracy: International evidence,https://doi.org/10.2308/accr-50378,Broker characteristics,Analyst forecast accuracy
Bilinski2013,Bilinski et al. (2013),"Bilinski, Pawel; Lyssimachou, Danielle; Walker, Martin",2013,The Accounting Review,Target price accuracy: International evidence,https://doi.org/10.2308/accr-50378,Institutional characteristics,Analyst forecast accuracy
Bilinski2013,Bilinski et al. (2013),"Bilinski, Pawel; Lyssimachou, Danielle; Walker, Martin",2013,The Accounting Review,Target price accuracy: International evidence,https://doi.org/10.2308/accr-50378,Regulatory characteristics,Analyst forecast accuracy
Bilinski2013,Bilinski et al. (2013),"Bilinski, Pawel; Lyssimachou, Danielle; Walker, Martin",2013,The Accounting Review,Target price accuracy: International evidence,https://doi.org/10.2308/accr-50378,Target price characteristics,Analyst forecast accuracy
Bilinski2013,Bilinski et al. (2013),"Bilinski, Pawel; Lyssimachou, Danielle; Walker, Martin",2013,The Accounting Review,Target price accuracy: International evidence,https://doi.org/10.2308/accr-50378,EPS forecast characteristics,Analyst forecast accuracy
Bilinski2013,Bilinski et al. (2013),"Bilinski, Pawel; Lyssimachou, Danielle; Walker, Martin",2013,The Accounting Review,Target price accuracy: International evidence,https://doi.org/10.2308/accr-50378,Firm characteristics,Analyst forecast accuracy
Bischof2013,Bischof and Daske (2013),"Bischof, Jannis; Daske, Holger",2013,Journal of Accounting Research,"Mandatory disclosure, voluntary disclosure, and stock market liquidity: Evidence from the EU bank stress tests",https://doi.org/10.1111/1475-679X.12029,Mandatory disclosure,Voluntary disclosure
Bischof2013,Bischof and Daske (2013),"Bischof, Jannis; Daske, Holger",2013,Journal of Accounting Research,"Mandatory disclosure, voluntary disclosure, and stock market liquidity: Evidence from the EU bank stress tests",https://doi.org/10.1111/1475-679X.12029,Mandatory disclosure,Market liquidity
Bischof2013,Bischof and Daske (2013),"Bischof, Jannis; Daske, Holger",2013,Journal of Accounting Research,"Mandatory disclosure, voluntary disclosure, and stock market liquidity: Evidence from the EU bank stress tests",https://doi.org/10.1111/1475-679X.12029,Voluntary disclosure,Market liquidity
Bischof2022,Bischof et al. (2022),"Bischof, Jannis; Daske, Holger; Elfers, Ferdinand; Hail, Luzi",2022,Contemporary Accounting Research,A Tale of Two Supervisors: Compliance with Risk Disclosure Regulation in the Banking Sector,https://doi.org/10.1111/1911-3846.12715,Mandatory IFRS adoption,Risk disclosure compliance
Blaylock2015,Blaylock et al. (2015),"Blaylock, Bradley; Gaertner, Fabio; Shevlin, Terry",2015,Review of Accounting Studies,The association between book-tax conformity and earnings management,https://doi.org/10.1007/s11142-014-9291-x,Book-tax conformity,Earnings management
Bloomfield2017,Bloomfield et al. (2017),"Bloomfield, Matthew J.; Br\""Uggemann, Ulf; Christensen, Hans B.; Leuz, Christian",2017,Journal of Accounting Research,The Effect of Regulatory Harmonization on Cross-Border Labor Migration: Evidence from the Accounting Profession,https://doi.org/10.1111/1475-679X.12155,Regulatory harmonization,Cross-border labor migration
Blouin2009,Blouin et al. (2009),"Blouin, Jennifer L.; Hail, Luzi; Yetman, Michelle H.",2009,The Accounting Review,"Capital gains taxes, pricing spreads, and arbitrage: Evidence from cross-listed firms in the U.S.",https://doi.org/10.2308/accr.2009.84.5.1321,Capital gain taxes,Pricing spread
Blouin2009,Blouin et al. (2009),"Blouin, Jennifer L.; Hail, Luzi; Yetman, Michelle H.",2009,The Accounting Review,"Capital gains taxes, pricing spreads, and arbitrage: Evidence from cross-listed firms in the U.S.",https://doi.org/10.2308/accr.2009.84.5.1321,Arbitrage,Pricing spread
Blouin2018,Blouin et al. (2018),"Blouin, Jennifer L.; Robinson, Leslie A.; Seidman, Jeri K.",2018,Contemporary Accounting Research,Conflicting Transfer Pricing Incentives and the Role of Coordination,https://doi.org/10.1111/1911-3846.12375,Transfer pricing incentives,Transfer pricing
